"Accepted Symbol","Synonym Symbol","Scientific Name","Genus","Family","Family Common Name","Order","Class","Division","Kingdom"
"HENRI2","","Henriettea","Henriettea","Melastomataceae","Melastome family","Myrtales","Magnoliopsida","Magnoliophyta","Plantae"
"HENRY","","Henrya","Henrya","Acanthaceae","Acanthus family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"HEPAT","","Hepatica","Hepatica","Ranunculaceae","Buttercup family","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae"
"HEPPI","","Heppia","Heppia","Heppiaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"HERAC","","Heracleum","Heracleum","Apiaceae","Carrot family","Apiales","Magnoliopsida","Magnoliophyta","Plantae"
"HERBE","","Herbertia","Herbertia","Iridaceae","Iris family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"HERBE2","","Herbertus","Herbertus","Herbertaceae","","Jungermanniales","Hepaticopsida","Hepaticophyta","Plantae"
"HERIS","","Herissantia","Herissantia","Malvaceae","Mallow family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"HERIT2","","Heritiera","Heritiera","Sterculiaceae","Cacao family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"HERMA","","Hermannia","Hermannia","Sterculiaceae","Cacao family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"HERMB","","Hermbstaedtia","Hermbstaedtia","Amaranthaceae","Amaranth family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"HERNA","","Hernandia","Hernandia","Hernandiaceae","Hernandia family","Laurales","Magnoliopsida","Magnoliophyta","Plantae"
"HERNI","","Herniaria","Herniaria","Caryophyllaceae","Pink family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"HERPE","","Herpetineuron","Herpetineuron","Anomodontaceae","","Leucodontales","Bryopsida","Bryophyta","Plantae"
"HERRE2","","Herrea","Herrea","Aizoaceae","Fig-marigold family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"HERTE","","Herteliana","Herteliana","Bacidiaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"HERTI","","Hertia","Hertia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HERZO","","Herzogiella","Herzogiella","Hypnaceae","","Hypnales","Bryopsida","Bryophyta","Plantae"
"HESPE","","Hesperaloe","Hesperaloe","Agavaceae","Century-plant family","Liliales","Liliopsida","Magnoliophyta","Plantae"
