"kingdom.inat.ID","phylum.inat.ID","class.inat.ID","order.inat.ID","family.inat.ID","genus.inat.ID","species.inat.ID","kingdom.science","phylum.science","class.science","order.science","family.science","genus.science","species.science","kingdom.common","phylum.common","class.common","order.common","family.common","genus.common","species.common","category","original.inat.taxonID","scientificName","taxonRank","kingdom","phylum","class","order","family","genus","speciesFixed","total_obs","user_obs","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Scientific.Name","Occurrence","other.rank","matched.ID"
"1","2","26036","39532","39539","39555","39556","Animalia","Chordata","Reptilia","Testudines","Trionychidae","Apalone","Apalone spinifera","Animals","Chordates","Reptiles","Turtles and Tortoises","Softshell Turtles","Softshell turtles","Spiny Softshell","Herp",39560,"Apalone spinifera emoryi","subspecies","Animalia","Chordata","Reptilia","Testudines","Trionychidae","Apalone","Apalone spinifera",13,7,0,0,1,1,3,5,0,2,1,0,0,0,0,0,0,0,0,0,1,5,4,3,0,NA,NA,NA,NA
"1","2","26036","39532","39760","39776","39782","Animalia","Chordata","Reptilia","Testudines","Emydidae","Trachemys","Trachemys scripta","Animals","Chordates","Reptiles","Turtles and Tortoises","Pond and Box Turtles","Slider Turtles","Pond Slider","Herp",51271,"Trachemys scripta elegans","subspecies","Animalia","Chordata","Reptilia","Testudines","Emydidae","Trachemys","Trachemys scripta",42,17,1,3,6,8,7,6,1,5,3,1,1,0,0,0,0,0,1,0,4,10,7,13,7,"Trachemys scripta elegans","Present","",51271
"1","2","26036","39532","39760","39820","39824","Animalia","Chordata","Reptilia","Testudines","Emydidae","Pseudemys","Pseudemys nelsoni","Animals","Chordates","Reptiles","Turtles and Tortoises","Pond and Box Turtles","Cooters","Florida Red-bellied Cooter","Herp",39824,"Pseudemys nelsoni","species","Animalia","Chordata","Reptilia","Testudines","Emydidae","Pseudemys","Pseudemys nelsoni",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
"1","2","26036","39532","39760","39844","39847","Animalia","Chordata","Reptilia","Testudines","Emydidae","Graptemys","Graptemys pseudogeographica","Animals","Chordates","Reptiles","Turtles and Tortoises","Pond and Box Turtles","Map turtles","False Map Turtle","Herp",39847,"Graptemys pseudogeographica","species","Animalia","Chordata","Reptilia","Testudines","Emydidae","Graptemys","Graptemys pseudogeographica",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA
"1","2","26036","39532","39760","71788","73592","Animalia","Chordata","Reptilia","Testudines","Emydidae","Actinemys","Actinemys marmorata","Animals","Chordates","Reptiles","Turtles and Tortoises","Pond and Box Turtles","","Western Pond Turtle","Herp",73592,"Actinemys marmorata","species","Animalia","Chordata","Reptilia","Testudines","Emydidae","Actinemys","Actinemys marmorata",2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Clemmys marmorata","Present","",73592
"1","2","3","1623","1627","1959","1960","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Coccyzus","Coccyzus erythropthalmus","Animals","Chordates","Birds","Cuckoos and Turacos","Cuckoos","","Black-billed Cuckoo","Bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coccyzus erythropthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coccyzus erythropthalmus","Present","",1960
"1","2","3","1623","1627","1959","1965","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Coccyzus","Coccyzus americanus","Animals","Chordates","Birds","Cuckoos and Turacos","Cuckoos","","Yellow-billed Cuckoo","Bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coccyzus americanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coccyzus americanus","Present","",1965
"1","2","3","1623","1627","1985","1986","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Geococcyx","Geococcyx californianus","Animals","Chordates","Birds","Cuckoos and Turacos","Cuckoos","Roadrunners","Greater Roadrunner","Bird",1986,"Geococcyx californianus","species","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Geococcyx","Geococcyx californianus",15,8,0,0,0,1,2,3,7,1,1,0,0,0,0,0,0,0,0,1,1,7,3,1,2,"Geococcyx californianus","Present","",1986
"1","2","3","17550","17599","17637","17645","Animalia","Chordata","Aves","Piciformes","Picidae","Picoides","Picoides nuttallii","Animals","Chordates","Birds","Woodpeckers and Allies","Woodpeckers","","Nuttall's Woodpecker","Bird",17645,"Picoides nuttallii","species","Animalia","Chordata","Aves","Piciformes","Picidae","Picoides","Picoides nuttallii",25,11,1,3,2,4,1,2,4,3,0,1,2,2,0,0,0,0,0,1,5,1,5,7,6,"Picoides nuttallii","Present","",17645
"1","2","3","17550","17599","17637","17646","Animalia","Chordata","Aves","Piciformes","Picidae","Picoides","Picoides albolarvatus","Animals","Chordates","Birds","Woodpeckers and Allies","Woodpeckers","","White-headed Woodpecker","Bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picoides albolarvatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picoides albolarvatus","Present","",17646
